"loyalty_cohort";"department";"cohort_reorder_rate";"price_sensitivity";"pricing_action"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Medium Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"Medium Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"Medium Sensitivity";"Maintain Discount"
"Occasional";"deli";0.0;"Medium Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Low Sensitivity";"Reduce Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"deli";0.9;"Medium Sensitivity";"Maintain Discount"
"Occasional";"deli";0.0;"Medium Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"High Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Medium Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"Medium Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Medium Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Medium Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"Low Sensitivity";"Reduce Discount"
"Occasional";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"High Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"High Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"High Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"High Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"Low Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"Low Sensitivity";"Reduce Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"Low Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"Low Sensitivity";"Reduce Discount"
"Occasional";"canned goods";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Medium Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"Medium Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Medium Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"Medium Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Medium Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Low Sensitivity";"Reduce Discount"
"Loyal";"dairy eggs";0.824;"Medium Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"Medium Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"High Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"High Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"High Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Medium Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"Medium Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Low Sensitivity";"Reduce Discount"
"Loyal";"beverages";0.622;"High Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"deli";0.9;"Low Sensitivity";"Reduce Discount"
"Occasional";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"Low Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"Low Sensitivity";"Reduce Discount"
"Loyal";"beverages";0.622;"High Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"Low Sensitivity";"Reduce Discount"
"Occasional";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"dairy eggs";0.824;"Medium Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"Medium Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Medium Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"Medium Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Medium Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"Medium Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Medium Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"High Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Occasional";"canned goods";0.0;"High Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"Medium Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"High Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"High Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"High Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"High Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"High Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"beverages";0.622;"Medium Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"Medium Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Medium Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"Medium Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Medium Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"Medium Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Medium Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"Medium Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"Low Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"Low Sensitivity";"Reduce Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"Medium Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"Medium Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Occasional";"canned goods";0.0;"High Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"High Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"High Sensitivity";"Maintain Discount"
"Occasional";"deli";0.0;"High Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Medium Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"Medium Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"High Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"Medium Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"High Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"High Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Low Sensitivity";"Reduce Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"High Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"deli";0.9;"Low Sensitivity";"Reduce Discount"
"Occasional";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"High Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"High Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"High Sensitivity";"Increase Discount"
"Occasional";"bakery";0.4;"High Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Medium Sensitivity";"Maintain Discount"
"Occasional";"dairy eggs";0.333;"Medium Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Low Sensitivity";"Reduce Discount"
"Loyal";"beverages";0.622;"Medium Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"Medium Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"Medium Sensitivity";"Maintain Discount"
"Occasional";"deli";0.0;"Medium Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Medium Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Low Sensitivity";"Reduce Discount"
"Loyal";"beverages";0.622;"High Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"High Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"Low Sensitivity";"Reduce Discount"
"Occasional";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"High Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"High Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"Low Sensitivity";"Reduce Discount"
"Occasional";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"High Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"High Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"High Sensitivity";"Maintain Discount"
"Occasional";"deli";0.0;"High Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"High Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"High Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"High Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"High Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"Low Sensitivity";"Reduce Discount"
"Occasional";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"Medium Sensitivity";"Maintain Discount"
"Occasional";"deli";0.0;"Medium Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Medium Sensitivity";"Maintain Discount"
"Occasional";"canned goods";0.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"canned goods";1.0;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"High Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"High Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"Low Sensitivity";"Reduce Discount"
"Occasional";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"Low Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"Low Sensitivity";"Reduce Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Occasional";"bakery";0.4;"High Sensitivity";"Maintain Discount"
"Loyal";"bakery";0.739;"High Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"dairy eggs";0.824;"Low Sensitivity";"Reduce Discount"
"Occasional";"dairy eggs";0.333;"Low Sensitivity";"Maintain Discount"
"First-Time";"dairy eggs";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"High Sensitivity";"Maintain Discount"
"Occasional";"deli";0.0;"High Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"High Sensitivity";"Increase Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
"Loyal";"deli";0.9;"Low Sensitivity";"Reduce Discount"
"Occasional";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"First-Time";"deli";0.0;"Low Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Medium Sensitivity";"Maintain Discount"
"Occasional";"beverages";0.714;"Medium Sensitivity";"Maintain Discount"
"Loyal";"beverages";0.622;"Low Sensitivity";"Reduce Discount"
"Occasional";"beverages";0.714;"Low Sensitivity";"Maintain Discount"
